,recall,precision,cagr_custom_q05,cagr_benchmark,custom_q05_meets_benchmark
0,{0.1},"{0.13, 0.14, 0.1, 0.34, 0.15, 0.16, 0.35, 0.26}",-0.0632,0.1446,False
1,{0.1},"{0.2, 0.35, 0.26, 0.34}",-0.031,0.1446,False
2,{0.1},"{0.3, 0.35, 0.34}",0.0106,0.1446,False
3,{0.1},"{0.4, 0.41}",0.0421,0.1446,False
4,{0.1},{0.5},0.0765,0.1446,False
5,{0.1},"{0.59, 0.6, 0.62}",0.1117,0.1446,False
6,{0.1},"{0.71, 0.7, 0.69, 0.73}",0.1496,0.1446,True
7,{0.1},"{0.81, 0.79, 0.8, 0.82}",0.1866,0.1446,True
8,{0.1},"{0.92, 0.91, 0.89, 0.9}",0.2223,0.1446,True
9,{0.1},{1.0},0.2588,0.1446,True
10,{0.2},"{0.23, 0.51, 0.26, 0.1, 0.25, 0.28, 0.52, 0.15, 0.42, 0.18}",-0.0794,0.1446,False
11,{0.2},"{0.23, 0.51, 0.26, 0.2, 0.25, 0.28, 0.52, 0.42}",-0.024,0.1446,False
12,{0.2},"{0.3, 0.51, 0.42, 0.52}",0.0027,0.1446,False
13,{0.2},"{0.4, 0.51, 0.42, 0.52}",0.0458,0.1446,False
14,{0.2},"{0.5, 0.51, 0.52}",0.0918,0.1446,False
15,{0.2},"{0.6, 0.59}",0.1271,0.1446,False
16,{0.2},"{0.7, 0.71, 0.69}",0.1638,0.1446,True
17,{0.2},"{0.8, 0.81, 0.82}",0.203,0.1446,True
18,{0.2},"{0.9, 0.89}",0.2385,0.1446,True
19,{0.2},{1.0},0.2778,0.1446,True
20,{0.3},"{0.31, 0.61, 0.12, 0.34, 0.33, 0.36, 0.1, 0.62, 0.2, 0.52, 0.25}",-0.1236,0.1446,False
21,{0.3},"{0.31, 0.61, 0.2, 0.34, 0.33, 0.36, 0.62, 0.52, 0.25}",-0.0464,0.1446,False
22,{0.3},"{0.31, 0.61, 0.3, 0.34, 0.33, 0.36, 0.62, 0.52}",0.013,0.1446,False
23,{0.3},"{0.4, 0.61, 0.62, 0.52}",0.0431,0.1446,False
